Year,Title,Artist
2009,Whatcha Say,Jason Derulo
2009,Empire State Of Mind,Jay-Z + Alicia Keys
2010,TiK ToK,Ke$ha
2010,Imma Be,The Black Eyed Peas
2010,Break Your Heart,Taio Cruz Featuring Ludacris
2010,Rude Boy,Rihanna
2010,Nothin' On You,B.o.B Featuring Bruno Mars
2010,OMG,Usher Featuring will.i.am
2010,Not Afraid,Eminem
2010,California Gurls,Katy Perry Featuring Snoop Dogg
2010,Love The Way You Lie,Eminem Featuring Rihanna
2010,Teenage Dream,Katy Perry
2010,Just The Way You Are,Bruno Mars
2010,Like A G6,Far*East Movement Featuring Cataracs & Dev
2010,We R Who We R,Ke$ha
2010,What's My Name?,Rihanna Featuring Drake
2010,Only Girl (In The World),Rihanna
2010,Raise Your Glass,P!nk
2010,Firework,Katy Perry
