Year,Title,Artist
2006,Give Me Your Love,Carl Cox Featuring Hannah Robinson
2006,It Makes A Difference,Kim English
2006,SOS,Rihanna
2006,I Want More (Cling On To Me),Amuka
2006,Say Somethin',Mariah Carey Featuring Snoop Dogg
2006,Suffer Well,Depeche Mode
2006,Faster Kill Pussycat,Oakenfold Featuring Brittany Murphy
2006,The One That Got Away,Natasha Bedingfield
2006,Get Together,Madonna
2006,Tracking Treasure Down,Gabriel & Dresden
2006,Make A Move On Me,Joey Negro
2006,"World, Hold On (Children Of The Sky)",Bob Sinclar
2006,Unfaithful,Rihanna
2006,Promiscuous,Nelly Furtado Featuring Timbaland
2006,C'est La Vie,Kim English
2006,Stars Are Blind,Paris Hilton
2006,Lost,Roger Sanchez
2006,Ain't No Other Man,Christina Aguilera
2006,Turn It Up,Paris Hilton
2006,Buttons,The Pussycat Dolls Featuring Snoop Dogg
2006,A Public Affair,Jessica Simpson
2006,Deja Vu,Beyonce Featuring Jay Z
2006,Is It Love?,iio
2006,SexyBack,Justin Timberlake
2006,Gone,Sun
2006,Hard,Africanism All Stars
2006,Jump,Madonna
2006,F*cking Boyfriend,the bird and the bee
2006,Maneater,Nelly Furtado
2006,Ring The Alarm,Beyonce
2006,Lost Yo Mind,Pepper MaShay
2007,I Believe,Georgie Porgie
2007,So Excited,Janet Featuring Khia
2007,Hurt,Christina Aguilera
2007,Party People,Altar Featuring Jeanie Tracy
2007,We Ride,Rihanna
2007,Illegal,Shakira Featuring Carlos Santana
2007,Dangerous Power,Gabriel & Dresden Featuring Jan Burton
2007,Rock This Party (Everybody Dance Now),"Bob Sinclar Featuring Dollar Man, Big Ali & Makedah"
2007,Runaway,Jamiroquai
2007,Irreplaceable,Beyonce
2007,Say It Right,Nelly Furtado
2007,And I Am Telling You I'm Not Going,Jennifer Hudson
2007,Angelicus,Delerium Featuring Isabel Bayrakdarian
2007,Love Me Or Hate Me (F**k You!!!!),Lady Sovereign
2007,U Spin Me,Inaya Day
2007,Rise,Samantha James
2007,Automatic,Ultra Nate
2007,With Love,Hilary Duff
2007,Beautiful Liar,Beyonce & Shakira
2007,Read My Mind,The Killers
2007,Glamorous,Fergie Featuring Ludacris
2007,Change,Kimberley Locke
2007,I Want Your Love,Jody Watley
2007,Que Hiciste,Jennifer Lopez
2007,All Good Things (Come To An End),Nelly Furtado
2007,Umbrella,Rihanna Featuring Jay-Z
2007,My Destiny,Kim English
2007,Rollercoaster,Erika Jayne
2007,Makes Me Wonder,Maroon 5
2007,Whine Up,Kat DeLuna Featuring Elephant Man
2007,Stranger,Hilary Duff
2007,Sound Of Freedom,Bob Sinclar
2007,Like This,Kelly Rowland Featuring Eve
2007,Don't Stop The Music,Rihanna
2007,Deep Into Your Soul,Friscia & Lamboy
2007,Make It Last,Dave Aude Featuring Jessica Sutta
2007,LoveStoned,Justin Timberlake
2007,Love Vibrations,Barbara Tucker
2007,Walk Away,Tony Moran Featuring Kristine W.
2007,"Hold It, Don't Drop It",Jennifer Lopez
2007,Disrespectful,Chaka Khan Featuring Mary J. Blige
2007,Do It,Nelly Furtado
2007,Amazing,Seal
2007,Do It Well,Jennifer Lopez
2007,Shut Up And Drive,Rihanna
2007,Gimme More,Britney Spears
2007,Keep Your Body Working,Tony Moran Featuring Martha Wash
2008,Kingdom,Dave Gahan
2008,"No, No, No",Ono
2008,Band Of Gold,Kimberley Locke
2008,Stars,Erika Jayne
2008,Taking Chances,Celine Dion
2008,Love Like This,Natasha Bedingfield Featuring Sean Kingston
2008,Just Fine,Mary J. Blige
2008,Give It All You Got,Ultra Nate Featuring Chris Willis
2008,Amazing,Celeda
2008,Piece Of Me,Britney Spears
2008,Together,Bob Sinclar & Steve Edwards
2008,Feedback,Janet
2008,The Boss,Kristine W
2008,Beautiful,Taylor Dayne
2008,The Flame 2008,Erin Hamilton
2008,I'm A Fire,Donna Summer
2008,Sensual Seduction,Snoop Dogg
2008,Break You,Ralph Falcon Featuring The Weather Girls
2008,Touch My Body,Mariah Carey
2008,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland
2008,Pocketful Of Sunshine,Natasha Bedingfield
2008,Break The Ice,Britney Spears
2008,Leavin',Jesse McCartney
2008,Disco Lies,Moby
2008,Same Ol' Story,Cyndi Lauper
2008,Stamp Your Feet,Donna Summer
2008,Turn It Up,Mark Picchiotti Presents Basstoy
2008,Fall,Kimberley Locke
2008,When I Grow Up,The Pussycat Dolls
2008,Give It 2 Me,Madonna
2008,Give Peace A Chance,Ono
2008,I Decided,Solange
2008,Into The Nightlife,Cyndi Lauper
2008,Closer,Ne-Yo
2008,Disturbia,Rihanna
2008,Control Yourself,Erin Hamilton
2008,Shut Up And Let Me Go,The Ting Tings
2008,I Love To Move In Here,Moby
2008,Angel,Natasha Bedingfield
2008,And I Try,Bimbo Jones
2008,Bossy,Lindsay Lohan
2008,Can You Feel That Sound,Georgie Porgie
2008,The Space Dance,Danny Tenaglia
2008,Get Up,Mary Mary
2008,Don't Call Me Baby,Kreesha Turner
2008,Grass Is Greener,Dave Aude Featuring Sisely Treasure
2008,Reach Out,Hilary Duff
2008,Right Here (Departed),Brandy
2008,Sandcastle Disco,Solange
2008,The Greatest,Michelle Williams
2009,I Hate This Part,The Pussycat Dolls
2009,Single Ladies (Put A Ring On It),Beyonce
2009,Human,The Killers
2009,Fame (The Game),Donna Summer
2009,Never,Kristine W
2009,I Stay In Love,Mariah Carey
2009,Poker Face,Lady Gaga
2009,What I Cannot Change,LeAnn Rimes
2009,T-Shirt,Shontelle
2009,Away,Enrique Iglesias Featuring Sean Garrett
2009,Long Distance,Brandy
2009,Diva,Beyonce
2009,The Fear,Lily Allen
2009,God In Me,"Mary Mary Featuring Kierra ""KiKi"" Sheard"
2009,Love Story,Nadia Ali
2009,Love Is The Look,Kristine W
2009,T.O.N.Y.,Solange
2009,Boom,Anjulie
2009,Bottle Pop,The Pussycat Dolls Featuring Snoop Dogg
2009,Halo,Beyonce
2009,Wrong,Depeche Mode
2009,Beautiful U R,Deborah Cox
2009,I'm Not Getting Enough,Ono
2009,When Love Takes Over,David Guetta Featuring Kelly Rowland
2009,"Bad, Bad Boy",The Perry Twins Featuring Niki Haris
2009,Now I'm That Bitch,Livvi Franc Featuring Pitbull
2009,Body Rock,Oceana
2009,LoveGame,Lady Gaga
2009,Love Etc.,Pet Shop Boys
2009,Give You Everything,Erika Jayne
2009,Hush Hush,The Pussycat Dolls Featuring Nicole Scherzinger
2009,Waking Up In Vegas,Katy Perry
2009,Crazy Possessive,Kaci Battaglia
2009,Be Alright,Kristine W
2009,Sweet Dreams,Beyonce
2009,Bulletproof,La Roux
2009,Celebration,Madonna
2009,Obsessed,Mariah Carey
2009,She Wolf,Shakira
2009,Everybody Shake It,Ralphi Rosario Featuring Shawn Christopher
2009,Sexy Bitch,David Guetta Featuring Akon
2009,Release Me,Agnes
2009,Million Dollar Bill,Whitney Houston
2009,Paparazzi,Lady Gaga
2009,Did You See Me Coming?,Pet Shop Boys
2009,F*ck You,Lily Allen
2009,S.O.S. (Let The Music Play),Jordin Sparks
2009,Perfect,Depeche Mode
2009,Hang On,Plumb
2009,Bad Romance,Lady Gaga
2010,Bad Romance,Lady Gaga
2010,Make Me,Janet
2010,One Love,David Guetta Featuring Estelle
2010,Push N Pull,Noferini & Marini vs Sylvia Tosun
2010,Fresh Out The Oven,Lola Featuring Pitbull
2010,Did It Again (Lo Hecho Esta Hecho),Shakira
2010,Why Don't You Love Me,Beyonce
2010,Russian Roulette,Rihanna
2010,Telephone,Lady Gaga Featuring Beyonce
2010,Hard,Rihanna Featuring Jeezy
2010,The Power Of Music,Kristine W
2010,Acapella,Kelis
2010,Fancy Free,Sun
2010,Louboutins,Jennifer Lopez
2010,Naturally,Selena Gomez & The Scene
2010,Give Me Something,Ono
2010,Heartbreak On Vinyl,Blake Lewis
2010,Rocket,Goldfrapp
2010,Video Phone,Beyonce Featuring Lady Gaga
2010,Rude Boy,Rihanna
2010,Pyramid,Charice Featuring Iyaz
2010,Imma Be,The Black Eyed Peas
2010,Dust In Gravity,Delerium Featuring Kreesha Turner
2010,Gettin' Over You,David Guetta & Chris Willis Featuring Fergie & LMFAO
2010,Not Myself Tonight,Christina Aguilera
2010,Pretty Mess,Erika Jayne
2010,Alejandro,Lady Gaga
2010,Commander,Kelly Rowland Featuring David Guetta
2010,Happiness,Alexis Jordan
2010,Dirty Talk,Wynter Gordon
2010,Alive,Goldfrapp
2010,Your Love Is My Drug,Ke$ha
2010,All The Lovers,Kylie Minogue
2010,California Gurls,Katy Perry Featuring Snoop Dogg
2010,I Like It,Enrique Iglesias Featuring Pitbull
2010,Fire With Fire,Scissor Sisters
2010,Dynamite,Taio Cruz
2010,Figure It Out,Dave Aude Featuring Isha CoCo
2010,Wouldnit (I'm A Star),Ono
2010,Beautiful Monster,Ne-Yo
2010,You Lost Me,Christina Aguilera
2010,Teenage Dream,Katy Perry
2010,Body Shots,Kaci Battaglia Featuring Ludacris
2010,Get Outta My Way,Kylie Minogue
2010,To Paris With Love,Donna Summer
2010,Only Girl (In The World),Rihanna
2010,Hands,The Ting Tings
2010,In For The Kill,La Roux
2010,Peacock,Katy Perry
2010,I Like That,Richard Vission & Static Revenger Starring Luciana
2010,Barbra Streisand,Duck Sauce
2010,Loca,Shakira Featuring Dizzee Rascal
